Alt. Names,Gene Symbols
AI528653; Dwarfin-A; Dwf-A; Mad; MAD homolog 1; MAD homolog 1 (Drosophila); Mad-related protein 1; Mad1; Madh; Madh1; Madr1; Mlp1; mMad1; Mothers against decapentaplegic homolog 1; Mothers against DPP homolog 1; Mothers-against-DPP-related 1; MusMLP; OTTMUSP00000023243; SMAD 1; SMAD family member 1; Smad1,Smad1
AU022421; MAD homolog 3; MAD homolog 3 (Drosophila); Mad3; Madh; Madh3; mMad3; Mothers against decapentaplegic homolog 3; Mothers against DPP homolog 3; OTTMUSP00000023917; SMAD 3; SMAD family member 3; Smad3,Smad3
"DKFZp781C1895; DKFZp781O1323; Dwfc; hSmad5; JV5-1; MAD homolog 5; MAD, mothers against decapentaplegic homolog 5; MADH5; Mothers against decapentaplegic homolog 5; mothers against decapentaplegic, drosophila, homolog of, 5; Mothers against DPP homolog 5; SMA- and MAD-related protein 5; SMAD 5; SMAD family member 5; SMAD, mothers against DPP homolog 5; SMAD5",SMAD5
1110051M15Rik; AI451355; Dwarfin-C; Dwf-C; MAD homolog 5; MAD homolog 5 (Drosophila); Madh; Madh5; Mothers against decapentaplegic homolog 5; Mothers against DPP homolog 5; Msmad5; Mus; MusMLP; OTTMUSP00000022970; OTTMUSP00000022971; OTTMUSP00000022972; SMAD 5; SMAD family member 5; Smad5,Smad5
"25kDa; AA407989; AV026596; Biogenesis of lysosome-related organelles complex 1 subunit 7; Bloc; BLOC-1 subunit 7; Bloc1s7; OTTMUSP00000024888; Sna; SNAP-associated protein; Snap25bp; Snapap; Snapin; SNAPN; SNARE-associated protein Snapin; synaptosomal-associated protein 25 binding protein; Synaptosomal-associated protein 25-binding protein; synaptosomal-associated protein, 25 kDa, binding protein",Snapin
"Beta-synuclein; I(2)-synuclein; SNCB; synuclein beta; synuclein, beta; SYUB",SNCB
"-synuclein; BCSG1; Breast cancer-specific gene 1 protein; E pound-synuclein; Gamma-synuclein; PERSYN; PRSN; SNCG; SR; Synoretin; synuclein gamma; synuclein, gamma (breast cancer-specific protein 1); SYUG",SNCG
"C79089; Gamma-synuclein; Persyn; Sncg; synuclein, gamma; SYUG",Sncg
"Gamma-synuclein; Persyn; Sensory neuron synuclein; Sncg; synuclein, gamma (breast cancer-specific protein 1); SYUG",Sncg
c-fos serum response element-binding transcription factor; MCM1; minichromosome maintenance 1 homolog; Serum response factor; serum response factor (c-fos serum response element-binding transcription factor); SRF,SRF
2010005J02Rik; AA408197; Signal transducer and activator of transcription 1; Stat1,Stat1
Acute-phase response factor; ADMIO; ADMIO1; APRF; DNA-binding protein APRF; FLJ20882; HIES; MGC16063; Signal transducer and activator of transcription 3; signal transducer and activator of transcription 3 (acute-phase response factor); STAT3,STAT3
1110034C02Rik; acute phase response factor; Acute-phase response factor; Aprf; AW109958; OTTMUSP00000002052; OTTMUSP00000002053; Signal transducer and activator of transcription 3; Stat3,Stat3
Signal transducer and activator of transcription 4; signal transducer and activator of transcription 4 variant 3; SLEB11; STAT4,STAT4
Signal transducer and activator of transcription 4; Stat4,Stat4
epididymis secretory sperm binding protein; MGF; Signal transducer and activator of transcription 5A; STA5A; STAT5; STAT5A,STAT5A
GHISID2; Signal transducer and activator of transcription 5B; STA5B; STAT5; STAT5B; transcription factor STAT5B,STAT5B
mammary gland factor STAT5B; OTTMUSP00000002050; OTTMUSP00000002051; Signal transducer and activator of transcription 5B; STA5B; Stat5b,Stat5b
"D12S1644; IL-4 Stat; IL-4-STAT; Signal transducer and activator of transcription 6; signal transducer and activator of transcription 6, interleukin-4 induced; STAT, interleukin4-induced; STAT6; STAT6B; STAT6C; transcription factor IL-4 STAT",STAT6
AA408040; Liver kinase B1 homolog; Lkb; Lkb1; LKB1 short isoform; mLKB1; OTTMUSP00000020599; PAR-4; PAR4; R75140; serine/threonine kinase 11; Serine/threonine-protein kinase 11; Serine/threonine-protein kinase LKB1; Serine/threonine-protein kinase STK11; Stk11,Stk11
C1orf215; FLJ32206; Lag; LAP18; Leukemia-associated phosphoprotein p18; Metablastin; MGC138869; MGC138870; Oncoprotein 18; OP18; phosphoprotein 19; Phosphoprotein p19; pp17; pp19; PR22; Prosolin; Protein Pr22; SMN; Stathmin; stathmin 1; stathmin 1/oncoprotein 18; STMN1; testicular tissue protein Li 189; transmembrane protein C1orf215,STMN1
HPC-1; Neuron-specific antigen HPC-1; P35-1; STX1; STX1A; SYN1A; syntaxin 1A; syntaxin 1A (brain); Syntaxin-1A,STX1A
Syn1; synapsin 1; Synapsin I; Synapsin-1,Syn1
BOS_25913; brain protein 4.1; SYN-1; SYN1; synapsin I; Synapsin-1,SYN1
AA517024; Angiopoietin-1 receptor; Cd202b; Endothelial tyrosine kinase; endothelial-specific receptor tyrosine kinase; HYK; mTIE2; OTTMUSP00000008261; p140 TEK; RP23-345A23.1; STK1; Tek; TEK receptor tyrosine kinase; Tie; tie-; Tie-2; Tie2; Tunica interna endothelial cell kinase; Tyrosine kinase with Ig and EGF homology domains-2; Tyrosine-protein kinase receptor TEK; Tyrosine-protein kinase receptor TIE-2,Tek
FLJ41416; hTRF1-AS; NIMA-interacting protein 2; PIN2; t-TRF1; Telomeric protein Pin2/TRF1; telomeric repeat binding factor (NIMA-interacting) 1; telomeric repeat binding factor 1; telomeric repeat binding protein 1; Telomeric repeat-binding factor 1; TERF1; TRBF1; TRF; TRF1; TTAGGG repeat-binding factor 1,TERF1
Pin2; telomeric repeat binding factor 1; Telomeric repeat-binding factor 1; Terf1; Trbf; Trbf1; Trf; Trf1; TTAGGG repeat-binding factor 1,Terf1
"Alk; Alk-5; ALK5; AU017191; ESK2; OTTMUSP00000007205; Tbet; Tbeta; TbetaR-I; TbetaRI; TGF-beta receptor type I; TGF-beta receptor type-1; Tgfbr1; TGFR-1; TGFR1; transforming growth factor, beta receptor I; Transforming growth factor-beta receptor type I",Tgfbr1
"1110020H15Rik; AU042018; DNIIR; RIIDN; Tbet; Tbeta; TbetaR-II; TbetaRII; TBR; TBR-II; TGF-beta receptor II; TGF-beta receptor type II; TGF-beta receptor type-2; TGF-beta type II receptor; Tgfbr2; TGFR-2; TGFR2; transforming growth factor, beta receptor II; Transforming growth factor-beta receptor type II",Tgfbr2
Endopeptidase 24.15; EP24.15; MEPD_HUMAN; MP78; Thimet oligopeptidase; thimet oligopeptidase 1; THOP1; TOP,THOP1
Nafld; Tcs2; TSC complex subunit 2; Tsc2; tube; Tuberin; tuberous sclerosis 2; Tuberous sclerosis 2 protein homolog,Tsc2
0610006J14Rik; 40S ribosomal protein S27a; MCG13441; MCG15222; OTTMUSP00000005506; OTTMUSP00000005507; Polyubiquitin-B; Polyubiquitin-C; Ribosomal protein S27A; Rps27a; Uba52; Ubb; Ubc; UBIQ; ubiquitin; Ubiquitin-ribosomal protein eL40 fusion protein; Ubiquitin-ribosomal protein eS31 fusion protein,UBA52-RPS27A-UBB-UBC
40S ribosomal protein S27a; CEP80; Ribosomal protein S27a; RPS27A; UBA52; UBA80; UBB; UBC; UBCEP1; UBCEP80; UBIQ; ubiquitin; ubiquitin and ribosomal protein S27a; ubiquitin carboxyl extension protein 80; ubiquitin-CEP80; Ubiquitin-ribosomal protein eS31 fusion protein,UBA52-RPS27A-UBB-UBC
"2610301N02Rik; E2 ubiquitin-conjugating enzyme B; E2-14k; E214K; HR6; HR6B; mHR6B; OTTMUSP00000005786; OTTMUSP00000005787; Rad; RAD6 homolog B; Rad6b; Ube2b; Ubiquitin carrier protein B; Ubiquitin-conjugating enzyme E2 B; ubiquitin-conjugating enzyme E2B; ubiquitin-conjugating enzyme E2B, RAD6 homology; ubiquitin-conjugating enzyme E2B, RAD6 homology (S. cerevisiae); Ubiquitin-protein ligase B",Ube2b
"A930005G04Rik; NOR-90; Nucleolar transcription factor 1; OTTMUSP00000002630; OTTMUSP00000002631; OTTMUSP00000002632; OTTMUSP00000002633; Tcfubf; transcription factor UBF; UBF; UBF-1; Ubf1; Ubtf; upstream binding transcription factor, RNA polymerase I; Upstream-binding factor 1",Ubtf
p95vav; Proto-oncogene vav; Vav; vav 1 oncogene; vav oncogene; vav-T; Vav1,Vav1
Actin nucleation-promoting factor WAS; OTTMUSP00000019623; U42471; Was; WASp; Wiskott-Aldrich syndrome; Wiskott-Aldrich syndrome homolog; Wiskott-Aldrich syndrome homolog (human); Wiskott-Aldrich syndrome protein homolog,Was
